13 17 9
72 13 32
14 17 42
97 41 81
6 10 15
17 14 9
9 5 1
8 9 1
10 2 5
6 2 10
3 11 7
3 6 11
4 12 8
4 7 12
13 8 12
9 8 13
10 5 14
14 5 9
6 15 11
11 16 7
16 12 7
51 29 87
14 19 44
83 23 47
91 33 55
67 13 27
62 13 22
87 28 51
88 29 52
26 71 15
15 10 21
21 10 14
94 38 78
82 22 46
47 24 83
14 18 43
49 26 85
84 24 48
20 45 14
21 66 15
65 25 85
92 34 56
41 15 81
50 28 86
75 35 93
48 25 84
13 12 37
70 30 89
31 76 15
85 25 49
96 40 80
95 39 79
54 33 90
80 40 97
55 34 91
52 30 88
58 38 94
53 31 89
13 37 77
89 30 53
95 38 59
96 39 60
37 12 16
11 15 41
13 77 32
56 35 92
77 37 94
57 36 93
78 38 95
11 41 16
79 39 96
93 35 57
17 13 62
14 42 18
42 82 18
14 43 19
63 23 83
14 44 20
64 24 84
45 21 14
22 13 67
17 62 82
67 27 86
83 24 64
68 28 87
84 25 65
69 29 88
85 26 66
27 13 72
86 28 68
72 32 90
87 29 69
73 33 91
88 30 70
74 34 92
89 31 71
59 39 95
90 33 73
60 40 96
91 34 74
61 41 97
92 35 75
97 40 61
93 36 76
58 16 38
37 16 58
59 16 39
38 16 59
60 16 40
39 16 60
61 40 16
41 61 16
82 63 18
62 22 82
17 82 42
18 83 43
18 63 83
19 84 44
19 64 84
20 85 45
20 65 85
66 26 15
22 86 46
86 27 50
22 67 86
23 87 47
23 68 87
24 88 48
24 69 88
25 89 49
25 70 89
71 31 15
27 90 50
90 32 54
27 72 90
28 91 51
28 73 91
29 92 52
29 74 92
30 93 53
30 75 93
76 36 15
32 94 54
94 37 58
32 77 94
33 95 55
33 78 95
34 96 56
34 79 96
35 97 57
35 80 97
81 15 36
82 23 63
46 23 82
83 64 19
43 83 19
84 65 20
44 84 20
85 66 21
45 85 21
86 68 23
46 86 23
87 69 24
47 87 24
88 70 25
48 88 25
89 71 26
49 89 26
90 73 28
50 90 28
91 74 29
51 91 29
92 75 30
52 92 30
93 76 31
53 93 31
94 78 33
54 94 33
95 79 34
55 95 34
96 80 35
56 96 35
97 81 36
57 97 36
