387 707 686
0 1366 545
0 1350 1380
483 662 70
1248 1203 100
1082 0 1124
1512 708 722
0 527 1442
1562 111 173
851 0 850
584 481 1455
1532 458 572
1504 347 452
1900 0 1195
0 1213 459
1853 1512 773
1646 648 1776
2721 1826 1842
525 360 457
446 511 431
3745 6048 4422
333 772 786
1079 272 0
3706 4184 3611
1053 436 407
194 181 1630
0 399 419
1166 0 1180
199 0 1172
1958 1149 1240
148 554 0
1027 0 1045
363 613 503
2289 3195 2287
2183 0 2145
107 0 129
3215 2365 719
1429 1340 41
1425 607 1423
846 1453 92
38 1430 2337
0 81 1008
512 97 1418
570 94 872
2346 1540 590
481 467 1552
1100 468 2029
58 0 456
1346 449 2228
1529 2338 395
1065 414 980
443 539 1509
2315 1148 1164
0 1171 1213
668 733 780
614 644 72
0 881 873
1114 488 48
1005 1054 1533
469 0 579
2471 872 1531
0 751 797
65 0 433
0 807 758
1542 595 63
0 685 669
433 0 429
615 480 694
579 0 603
0 4 484
79 78 91
56 79 0
796 1726 597
894 487 533
1930 1856 462
743 1676 727
663 1600 628
1601 71 1087
72 71 0
0 669 718
1047 988 42
434 485 0
718 774 529
662 90 2521
89 570 1494
945 454 710
2489 587 1552
586 1616 638
92 0 85
84 629 1603
71 434 0
97 89 40
2697 1755 2574
44 0 469
0 592 1058
1470 98 512
43 0 92
102 0 96
508 109 1477
5 0 1334
3239 3308 2389
1159 537 98
0 544 1350
758 1771 1722
594 2371 1439
2224 1334 1292
108 36 1217
107 124 0
99 0 136
1710 2650 1724
635 0 9
1097 0 1082
906 0 890
156 130 1579
1305 0 1291
185 1473 197
1187 0 145
122 882 634
1421 2298 1419
2116 0 1186
1985 2219 3334
621 0 118
515 156 1575
1089 139 108
255 557 1943
625 0 181
367 2627 2542
135 172 191
36 508 1464
114 0 625
1231 0 2102
178 1230 135
2207 0 150
2144 0 1465
132 128 0
109 509 1483
931 0 198
1002 0 779
124 179 0
187 0 158
2571 3487 3460
746 0 730
2397 1283 1081
1138 0 1153
2079 117 1962
642 553 2001
2199 2793 1243
197 1096 31
899 0 915
2170 133 2194
683 0 699
962 0 621
651 851 1780
184 0 683
978 0 237
123 0 114
2658 1808 1497
140 515 698
2630 2656 687
1256 334 265
768 0 785
2054 0 1116
0 265 276
3276 1748 249
1277 0 1261
1060 0 1036
752 0 768
704 0 720
3227 2134 2146
1485 1870 2013
720 0 737
883 1083 128
9 0 193
1291 0 1277
195 0 499
2616 1686 1518
1300 0 1314
179 132 0
139 1019 178
